2022-05-10 10:59:56,594 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-05-10 10:59:56,618 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-05-10 10:59:56,619 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2022-05-10 10:59:56,619 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2022-05-10 10:59:56,646 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2022-05-10 10:59:56,647 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2022-05-10 10:59:56,666 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2022-05-10 11:00:16,159 INFO  SwAddin.cs: 271 - Assembly export called for file link2_learn.SLDASM
2022-05-10 11:00:21,821 INFO  SwAddin.cs: 290 - Saving assembly
2022-05-10 11:00:21,955 INFO  SwAddin.cs: 293 - Opening property manager
2022-05-10 11:00:21,967 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from link2_learn.SLDASM
2022-05-10 11:00:21,971 INFO  ExportHelperExtension.cs: 1142 - Found 48 in link2_learn.SLDASM
2022-05-10 11:00:21,971 INFO  ExportHelperExtension.cs: 1152 - Found 3 features of type [CoordSys] in link2_learn.SLDASM
2022-05-10 11:00:21,972 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2022-05-10 11:00:21,972 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2022-05-10 11:00:21,973 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from 连杆1-1
2022-05-10 11:00:21,974 INFO  ExportHelperExtension.cs: 1142 - Found 34 in 连杆1-1
2022-05-10 11:00:21,974 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in 连杆1-1
2022-05-10 11:00:21,974 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from 连杆2-1
2022-05-10 11:00:21,975 INFO  ExportHelperExtension.cs: 1142 - Found 32 in 连杆2-1
2022-05-10 11:00:21,976 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in 连杆2-1
2022-05-10 11:00:21,976 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from 基座-1
2022-05-10 11:00:21,976 INFO  ExportHelperExtension.cs: 1142 - Found 37 in 基座-1
2022-05-10 11:00:21,977 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in 基座-1
2022-05-10 11:00:21,978 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from link2_learn.SLDASM
2022-05-10 11:00:21,979 INFO  ExportHelperExtension.cs: 1142 - Found 48 in link2_learn.SLDASM
2022-05-10 11:00:21,979 INFO  ExportHelperExtension.cs: 1152 - Found 2 features of type [RefAxis] in link2_learn.SLDASM
2022-05-10 11:00:21,979 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2022-05-10 11:00:21,980 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2022-05-10 11:00:21,980 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from 连杆1-1
2022-05-10 11:00:21,981 INFO  ExportHelperExtension.cs: 1142 - Found 34 in 连杆1-1
2022-05-10 11:00:21,981 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in 连杆1-1
2022-05-10 11:00:21,981 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from 连杆2-1
2022-05-10 11:00:21,982 INFO  ExportHelperExtension.cs: 1142 - Found 32 in 连杆2-1
2022-05-10 11:00:21,982 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in 连杆2-1
2022-05-10 11:00:21,982 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from 基座-1
2022-05-10 11:00:21,983 INFO  ExportHelperExtension.cs: 1142 - Found 37 in 基座-1
2022-05-10 11:00:21,983 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in 基座-1
2022-05-10 11:00:22,181 INFO  SwAddin.cs: 316 - Loading config tree
2022-05-10 11:00:22,186 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2022-05-10 11:00:22,190 INFO  SwAddin.cs: 321 - Showing property manager
2022-05-10 11:00:35,243 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-10 11:01:01,350 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-10 11:01:07,365 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-10 11:04:11,702 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-10 11:04:17,316 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-10 11:04:27,685 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-10 11:04:27,688 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-10 11:04:36,260 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-10 11:04:42,121 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-10 11:08:01,222 INFO  ExportPropertyManager.cs: 1078 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-10 11:09:12,042 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-10 11:09:13,637 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-10 11:09:19,796 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-10 11:09:30,767 INFO  ExportPropertyManager.cs: 456 - Configuration saved
2022-05-10 11:09:30,894 INFO  ExportPropertyManager.cs: 1184 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-05-10 11:10:13,721 INFO  SwAddin.cs: 271 - Assembly export called for file link2_learn.SLDASM
2022-05-10 11:10:25,267 INFO  SwAddin.cs: 290 - Saving assembly
2022-05-10 11:10:25,366 INFO  SwAddin.cs: 293 - Opening property manager
2022-05-10 11:10:25,367 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from link2_learn.SLDASM
2022-05-10 11:10:25,368 INFO  ExportHelperExtension.cs: 1142 - Found 49 in link2_learn.SLDASM
2022-05-10 11:10:25,368 INFO  ExportHelperExtension.cs: 1152 - Found 3 features of type [CoordSys] in link2_learn.SLDASM
